Age_band_of_driver,Vehicle_driver_relation,Driving_experience,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Cause_of_accident,Accident_severity
18-30,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Entering a junction,Driving carelessly,1
Unknown,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Driving to the left,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Driving to the left,1
Unknown,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Entering a junction,No priority to pedestrian,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Reversing,Turnover,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Overtaking,Driving carelessly,2
Over 51,Owner,1-2yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Over 51,Employee,1-2yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Changing lane to the left,1
Unknown,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,Above 10yr,Crossing,Asphalt roads with some distress,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Employee,Below 1yr,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Moving Backward,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Employee,5-10yr,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Owner,2-5yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Under 18,Employee,5-10yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Over 51,Owner,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,2-5yr,Crossing,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Unknown,Employee,Below 1yr,Y Shape,Earth roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
18-30,Owner,Below 1yr,No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
31-50,Employee,Above 10yr,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
Over 51,Employee,1-2yr,Crossing,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,2
18-30,Owner,5-10yr,Crossing,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No priority to vehicle,1
Unknown,Owner,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Over 51,Owner,Above 10yr,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the left,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,2
Unknown,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,No priority to pedestrian,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,No priority to vehicle,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,No distancing,1
Over 51,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,No distancing,1
18-30,Employee,Below 1yr,Other,Earth roads,Daylight,Normal,Rollover,Other,No distancing,1
31-50,Employee,1-2yr,Other,Asphalt roads,Daylight,Normal,Collision with animals,Other,Driving carelessly,1
Unknown,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Moving Backward,1
18-30,Employee,Below 1yr,T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the right,2
18-30,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,2
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,Changing lane to the right,2
31-50,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Other,Rollover,Going straight,Changing lane to the right,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
Unknown,Owner,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving to the left,1
18-30,Employee,1-2yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Moving Backward,1
18-30,Employee,5-10yr,No junction,Other,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Overtaking,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Rollover,Moving Backward,Driving carelessly,1
18-30,Employee,Below 1yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the left,1
31-50,Employee,Below 1yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Driving under the influence of drugs,1
Unknown,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,No distancing,1
31-50,Owner,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,No distancing,2
Under 18,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Under 18,Employee,Above 10yr,No junction,Earth roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,No distancing,1
Under 18,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
Unknown,Owner,5-10yr,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No priority to pedestrian,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,Changing lane to the left,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No priority to vehicle,2
Over 51,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,No distancing,2
Unknown,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No distancing,2
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Owner,Above 10yr,No junction,Asphalt roads with some distress,Darkness - lights lit,Raining,Vehicle with vehicle collision,Other,Changing lane to the left,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Other,No distancing,1
31-50,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Stopping,No priority to vehicle,1
Unknown,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Moving Backward,1
31-50,Owner,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Other,Moving Backward,1
18-30,Employee,Above 10yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overspeed,1
31-50,Employee,1-2yr,No junction,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,No distancing,1
31-50,Owner,5-10yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
Unknown,Employee,1-2yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Over 51,Employee,1-2yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Under 18,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,Changing lane to the right,1
18-30,Employee,Above 10yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,No distancing,1
Unknown,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Rollover,Turnover,Changing lane to the right,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,No distancing,1
Unknown,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,No priority to vehicle,1
Over 51,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Changing lane to the left,1
31-50,Employee,Above 10yr,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Entering a junction,Moving Backward,1
18-30,Employee,5-10yr,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Driving carelessly,1
Unknown,Employee,Above 10yr,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Changing lane to the left,1
Unknown,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,No priority to pedestrian,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,No distancing,1
31-50,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Overturning,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,No distancing,1
Unknown,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Drunk driving,1
18-30,Employee,1-2yr,No junction,Earth roads,Daylight,Normal,Collision with roadside objects,Other,Moving Backward,1
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
18-30,Owner,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Overtaking,Changing lane to the right,1
31-50,Owner,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,Fatal injury
Unknown,Owner,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,No distancing,1
Unknown,Owner,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the right,1
18-30,Owner,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Driving carelessly,1
18-30,Employee,5-10yr,T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the right,1
18-30,Owner,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Owner,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Moving Backward,1
Over 51,Owner,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Overturning,1
Over 51,Owner,Above 10yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving at high speed,1
18-30,Owner,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,Changing lane to the right,1
Unknown,Employee,No Licence,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Waiting to go,Driving to the left,1
18-30,Employee,5-10yr,No junction,Earth roads,Daylight,Normal,Collision with pedestrians,Other,Changing lane to the right,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the left,1
31-50,Employee,5-10yr,O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
31-50,Employee,5-10yr,O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Employee,2-5yr,O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Overtaking,Changing lane to the right,1
31-50,Employee,5-10yr,O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Unknown,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
18-30,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the left,1
18-30,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Getting off,Moving Backward,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,2
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Overtaking,Changing lane to the right,1
Unknown,Employee,Above 10yr,No junction,Earth roads,Daylight,Normal,Collision with pedestrians,Going straight,Moving Backward,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driving carelessly,1
31-50,Owner,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Driving under the influence of drugs,1
Under 18,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,No distancing,1
Unknown,Employee,Above 10yr,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,No distancing,1
18-30,Employee,2-5yr,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No priority to vehicle,1
